id,date,description,amount,status
1,2025-09-01,Salary Credit - Monthly,₹85000,completed
2,2025-09-01,Rent Payment,₹25000,completed
3,2025-09-02,Grocery Shopping - SuperMart,₹4500,completed
4,2025-09-03,Electricity Bill,₹2800,completed
5,2025-09-03,Mobile Recharge,₹599,completed
6,2025-09-04,Restaurant - Dinner with Family,₹3200,completed
7,2025-09-05,Fuel - Petrol,₹2500,completed
8,2025-09-05,Medicine & Healthcare,₹1800,completed
9,2025-09-06,Online Shopping - Amazon,₹5600,completed
10,2025-09-07,Internet Bill,₹999,completed
11,2025-09-08,Movie Tickets,₹1200,completed
12,2025-09-09,Gym Membership - Monthly,₹3000,completed
13,2025-09-10,Grocery Shopping - Local Market,₹3800,completed
14,2025-09-11,Insurance Premium - LIC,₹6500,completed
15,2025-09-12,Book Purchase - Online,₹850,completed
16,2025-09-13,Clothing Shopping,₹4200,completed
17,2025-09-14,Restaurant - Lunch,₹1800,completed
18,2025-09-15,Freelance Project Payment,₹25000,completed
19,2025-09-15,Water Bill,₹450,completed
20,2025-09-16,Car Service & Maintenance,₹8500,completed
21,2025-09-17,Grocery Shopping - Organic Store,₹5200,completed
22,2025-09-18,Coffee Shop,₹450,completed
23,2025-09-19,Streaming Subscriptions - Netflix,₹649,completed
24,2025-09-20,Fuel - Petrol,₹2800,completed
25,2025-09-21,Salon & Personal Care,₹2100,completed
26,2025-09-22,Food Delivery - Swiggy,₹980,completed
27,2025-09-23,Electronics - Headphones,₹3500,completed
28,2025-09-24,Taxi/Uber Rides,₹850,completed
29,2025-09-25,Charity Donation,₹2000,completed
30,2025-09-26,Gift Purchase - Birthday,₹3800,completed
31,2025-09-27,Home Decor Items,₹4500,completed
32,2025-09-28,Medical Checkup,₹2500,completed
33,2025-09-29,Grocery Shopping - SuperMart,₹4100,completed
34,2025-09-30,Credit Card Payment,₹15000,completed
35,2025-10-01,Salary Credit - Monthly,₹85000,completed
36,2025-10-02,Rent Payment,₹25000,completed
37,2025-10-03,Electricity Bill,₹3200,completed
38,2025-10-04,Grocery Shopping,₹4800,completed
39,2025-10-05,Restaurant - Weekend Outing,₹2500,completed
40,2025-10-06,Fuel - Petrol,₹2600,completed
41,2025-10-07,Online Course - Udemy,₹1999,completed
42,2025-10-08,Mobile Recharge,₹599,completed
43,2025-10-09,Food Delivery - Zomato,₹750,completed
44,2025-10-10,Grocery Shopping - Local Store,₹3600,completed
45,2025-10-11,Utility Bill - Gas,₹1200,completed
46,2025-10-12,Pharmacy - Medicines,₹1500,completed
47,2025-10-13,Coffee Shop & Snacks,₹620,completed
48,2025-10-14,Clothing - Online Shopping,₹5800,completed
49,2025-10-15,Internet Bill,₹999,completed
50,2025-10-16,Investment - Mutual Fund SIP,₹10000,completed
